"Family2","Name","pct","color","Longitude","Latitude","Region"
"Erebidae","ASRI Fisherville Brook",10.8,"salmon",-71.578353931563,41.589962289117,"RI"
"Geometridae","ASRI Fisherville Brook",43.2,"lightgreen",-71.578353931563,41.589962289117,"RI"
"Noctuidae","ASRI Fisherville Brook",10.8,"skyblue",-71.578353931563,41.589962289117,"RI"
"Notodontidae","ASRI Fisherville Brook",27,"dodgerblue",-71.578353931563,41.589962289117,"RI"
"other","ASRI Fisherville Brook",8.1,"white",-71.578353931563,41.589962289117,"RI"
"Erebidae","ASRI Fort",11.8,"salmon",-71.553502491472,41.960737497558,"RI"
"Geometridae","ASRI Fort",47.1,"lightgreen",-71.553502491472,41.960737497558,"RI"
"Noctuidae","ASRI Fort",23.5,"skyblue",-71.553502491472,41.960737497558,"RI"
"Saturniidae","ASRI Fort",17.6,"yellow",-71.553502491472,41.960737497558,"RI"
"Erebidae","ASRI Long Pond",48,"salmon",-71.764909163237,41.506806218059,"RI"
"Geometridae","ASRI Long Pond",32,"lightgreen",-71.764909163237,41.506806218059,"RI"
"Noctuidae","ASRI Long Pond",12,"skyblue",-71.764909163237,41.506806218059,"RI"
"Notodontidae","ASRI Long Pond",4,"dodgerblue",-71.764909163237,41.506806218059,"RI"
"other","ASRI Long Pond",4,"white",-71.764909163237,41.506806218059,"RI"
"Geometridae","ASRI Maxwell Mays",55.2,"lightgreen",-71.694214718274,41.670633721806,"RI"
"Noctuidae","ASRI Maxwell Mays",20.7,"skyblue",-71.694214718274,41.670633721806,"RI"
"Notodontidae","ASRI Maxwell Mays",10.3,"dodgerblue",-71.694214718274,41.670633721806,"RI"
"Saturniidae","ASRI Maxwell Mays",3.4,"yellow",-71.694214718274,41.670633721806,"RI"
"other","ASRI Maxwell Mays",10.3,"white",-71.694214718274,41.670633721806,"RI"
"Erebidae","ASRI Parker Woodland",6.7,"salmon",-71.689371172376,41.723608649535,"RI"
"Geometridae","ASRI Parker Woodland",40,"lightgreen",-71.689371172376,41.723608649535,"RI"
"Noctuidae","ASRI Parker Woodland",20,"skyblue",-71.689371172376,41.723608649535,"RI"
"Notodontidae","ASRI Parker Woodland",13.3,"dodgerblue",-71.689371172376,41.723608649535,"RI"
"other","ASRI Parker Woodland",20,"white",-71.689371172376,41.723608649535,"RI"
"Erebidae","BHRC - Hemlock Draw",25,"salmon",-89.941807312655,43.359565312021,"WI"
"Geometridae","BHRC - Hemlock Draw",25,"lightgreen",-89.941807312655,43.359565312021,"WI"
"Noctuidae","BHRC - Hemlock Draw",20.8,"skyblue",-89.941807312655,43.359565312021,"WI"
"other","BHRC - Hemlock Draw",29.2,"white",-89.941807312655,43.359565312021,"WI"
"Erebidae","BHRC Green Forest",20,"salmon",-89.918081940435,43.383614216027,"WI"
"Geometridae","BHRC Green Forest",28,"lightgreen",-89.918081940435,43.383614216027,"WI"
"Noctuidae","BHRC Green Forest",28,"skyblue",-89.918081940435,43.383614216027,"WI"
"other","BHRC Green Forest",24,"white",-89.918081940435,43.383614216027,"WI"
"Erebidae","BHRC Happy Hill",10.6,"salmon",-89.831000897954,43.397527460736,"WI"
"Geometridae","BHRC Happy Hill",55.3,"lightgreen",-89.831000897954,43.397527460736,"WI"
"Noctuidae","BHRC Happy Hill",9.4,"skyblue",-89.831000897954,43.397527460736,"WI"
"other","BHRC Happy Hill",24.7,"white",-89.831000897954,43.397527460736,"WI"
"Erebidae","BHRC Hemlock Draw North",43.8,"salmon",-89.938391427717,43.368952409441,"WI"
"Geometridae","BHRC Hemlock Draw North",12.5,"lightgreen",-89.938391427717,43.368952409441,"WI"
"Noctuidae","BHRC Hemlock Draw North",31.2,"skyblue",-89.938391427717,43.368952409441,"WI"
"other","BHRC Hemlock Draw North",12.4,"white",-89.938391427717,43.368952409441,"WI"
"Erebidae","BHRC Misty Valley Uplands",10,"salmon",-89.838369239236,43.395977313394,"WI"
"Geometridae","BHRC Misty Valley Uplands",60,"lightgreen",-89.838369239236,43.395977313394,"WI"
"Limacodidae","BHRC Misty Valley Uplands",3.3,"orange",-89.838369239236,43.395977313394,"WI"
"Noctuidae","BHRC Misty Valley Uplands",13.3,"skyblue",-89.838369239236,43.395977313394,"WI"
"other","BHRC Misty Valley Uplands",13.4,"white",-89.838369239236,43.395977313394,"WI"
"Erebidae","BHRC Natural Bridge South",52.6,"salmon",-89.928724205292,43.338069295999,"WI"
"Geometridae","BHRC Natural Bridge South",18.4,"lightgreen",-89.928724205292,43.338069295999,"WI"
"Noctuidae","BHRC Natural Bridge South",26.3,"skyblue",-89.928724205292,43.338069295999,"WI"
"other","BHRC Natural Bridge South",2.6,"white",-89.928724205292,43.338069295999,"WI"
"Erebidae","BHRC Natural Bridge Uplands",57.9,"salmon",-89.937131887229,43.348915814263,"WI"
"Geometridae","BHRC Natural Bridge Uplands",21.1,"lightgreen",-89.937131887229,43.348915814263,"WI"
"Noctuidae","BHRC Natural Bridge Uplands",10.5,"skyblue",-89.937131887229,43.348915814263,"WI"
"other","BHRC Natural Bridge Uplands",10.5,"white",-89.937131887229,43.348915814263,"WI"
"Erebidae","BHRC Pan Hollow Uplands",19,"salmon",-89.869713136436,43.37562290301,"WI"
"Geometridae","BHRC Pan Hollow Uplands",19,"lightgreen",-89.869713136436,43.37562290301,"WI"
"Noctuidae","BHRC Pan Hollow Uplands",47.6,"skyblue",-89.869713136436,43.37562290301,"WI"
"other","BHRC Pan Hollow Uplands",14.4,"white",-89.869713136436,43.37562290301,"WI"
"Erebidae","Beare Swamp in Rouge Park",87.5,"salmon",-79.154017733419,43.825999432243,"ON"
"Geometridae","Beare Swamp in Rouge Park",12.5,"lightgreen",-79.154017733419,43.825999432243,"ON"
"Erebidae","Belle Isle State Park, Lancaster, VA",34,"salmon",-76.596441492825,37.780129538579,"VA"
"Geometridae","Belle Isle State Park, Lancaster, VA",19.1,"lightgreen",-76.596441492825,37.780129538579,"VA"
"Limacodidae","Belle Isle State Park, Lancaster, VA",2.1,"orange",-76.596441492825,37.780129538579,"VA"
"Noctuidae","Belle Isle State Park, Lancaster, VA",8.5,"skyblue",-76.596441492825,37.780129538579,"VA"
"Notodontidae","Belle Isle State Park, Lancaster, VA",8.5,"dodgerblue",-76.596441492825,37.780129538579,"VA"
"Saturniidae","Belle Isle State Park, Lancaster, VA",4.3,"yellow",-76.596441492825,37.780129538579,"VA"
"other","Belle Isle State Park, Lancaster, VA",23.4,"white",-76.596441492825,37.780129538579,"VA"
"Erebidae","CawCaw Interpretive Center",4.2,"salmon",-80.193097095849,32.782252065427,"SC"
"Euteliidae","CawCaw Interpretive Center",4.2,"thistle",-80.193097095849,32.782252065427,"SC"
"Geometridae","CawCaw Interpretive Center",4.2,"lightgreen",-80.193097095849,32.782252065427,"SC"
"Limacodidae","CawCaw Interpretive Center",4.2,"orange",-80.193097095849,32.782252065427,"SC"
"Noctuidae","CawCaw Interpretive Center",4.2,"skyblue",-80.193097095849,32.782252065427,"SC"
"Notodontidae","CawCaw Interpretive Center",4.2,"dodgerblue",-80.193097095849,32.782252065427,"SC"
"Saturniidae","CawCaw Interpretive Center",25,"yellow",-80.193097095849,32.782252065427,"SC"
"other","CawCaw Interpretive Center",50.1,"white",-80.193097095849,32.782252065427,"SC"
"other","Church On the Corner Garden",100,"white",-122.29178129206,37.890866885379,"CA"
"Erebidae","Cowee MAPS Site",5.9,"salmon",-83.418045385899,35.265779532502,"NC"
"Geometridae","Cowee MAPS Site",82.4,"lightgreen",-83.418045385899,35.265779532502,"NC"
"Noctuidae","Cowee MAPS Site",5.9,"skyblue",-83.418045385899,35.265779532502,"NC"
"Notodontidae","Cowee MAPS Site",5.9,"dodgerblue",-83.418045385899,35.265779532502,"NC"
"Erebidae","East Campus UGA",64.3,"salmon",-83.367261886597,33.938606928375,"GA"
"Geometridae","East Campus UGA",10.7,"lightgreen",-83.367261886597,33.938606928375,"GA"
"Noctuidae","East Campus UGA",14.3,"skyblue",-83.367261886597,33.938606928375,"GA"
"Notodontidae","East Campus UGA",3.6,"dodgerblue",-83.367261886597,33.938606928375,"GA"
"Saturniidae","East Campus UGA",7.1,"yellow",-83.367261886597,33.938606928375,"GA"
"Erebidae","Eno River State Park",20,"salmon",-79.00719785217,36.076898750519,"NC"
"Geometridae","Eno River State Park",28.6,"lightgreen",-79.00719785217,36.076898750519,"NC"
"Noctuidae","Eno River State Park",40,"skyblue",-79.00719785217,36.076898750519,"NC"
"Notodontidae","Eno River State Park",5.7,"dodgerblue",-79.00719785217,36.076898750519,"NC"
"other","Eno River State Park",5.7,"white",-79.00719785217,36.076898750519,"NC"
"Erebidae","EwA at Bigelow",4.8,"salmon",-72.133736073331,41.997887974173,"CT"
"Geometridae","EwA at Bigelow",42.9,"lightgreen",-72.133736073331,41.997887974173,"CT"
"Limacodidae","EwA at Bigelow",4.8,"orange",-72.133736073331,41.997887974173,"CT"
"Noctuidae","EwA at Bigelow",28.6,"skyblue",-72.133736073331,41.997887974173,"CT"
"Notodontidae","EwA at Bigelow",14.3,"dodgerblue",-72.133736073331,41.997887974173,"CT"
"other","EwA at Bigelow",4.8,"white",-72.133736073331,41.997887974173,"CT"
"Erebidae","EwA at Fresh Pond",10.5,"salmon",-71.145097454995,42.387327000031,"MA"
"Geometridae","EwA at Fresh Pond",21.1,"lightgreen",-71.145097454995,42.387327000031,"MA"
"Noctuidae","EwA at Fresh Pond",42.1,"skyblue",-71.145097454995,42.387327000031,"MA"
"Notodontidae","EwA at Fresh Pond",5.3,"dodgerblue",-71.145097454995,42.387327000031,"MA"
"other","EwA at Fresh Pond",21.2,"white",-71.145097454995,42.387327000031,"MA"
"Geometridae","EwA at Horn Pond",14.8,"lightgreen",-71.15774573479,42.461360478055,"MA"
"Limacodidae","EwA at Horn Pond",3.7,"orange",-71.15774573479,42.461360478055,"MA"
"Noctuidae","EwA at Horn Pond",22.2,"skyblue",-71.15774573479,42.461360478055,"MA"
"Notodontidae","EwA at Horn Pond",7.4,"dodgerblue",-71.15774573479,42.461360478055,"MA"
"Saturniidae","EwA at Horn Pond",7.4,"yellow",-71.15774573479,42.461360478055,"MA"
"other","EwA at Horn Pond",44.4,"white",-71.15774573479,42.461360478055,"MA"
"Erebidae","EwA at the Fells",9.8,"salmon",-71.123832,42.455492,"MA"
"Geometridae","EwA at the Fells",11.5,"lightgreen",-71.123832,42.455492,"MA"
"Noctuidae","EwA at the Fells",39.3,"skyblue",-71.123832,42.455492,"MA"
"Notodontidae","EwA at the Fells",6.6,"dodgerblue",-71.123832,42.455492,"MA"
"other","EwA at the Fells",32.7,"white",-71.123832,42.455492,"MA"
"Erebidae","Grandfather Mountain",13.6,"salmon",-81.835645308896,36.090242719196,"NC"
"Geometridae","Grandfather Mountain",61.4,"lightgreen",-81.835645308896,36.090242719196,"NC"
"Noctuidae","Grandfather Mountain",18.2,"skyblue",-81.835645308896,36.090242719196,"NC"
"Notodontidae","Grandfather Mountain",6.8,"dodgerblue",-81.835645308896,36.090242719196,"NC"
"Erebidae","Highlands Biological Station",2,"salmon",-83.18924508538,35.053885666174,"NC"
"Geometridae","Highlands Biological Station",74,"lightgreen",-83.18924508538,35.053885666174,"NC"
"Noctuidae","Highlands Biological Station",24,"skyblue",-83.18924508538,35.053885666174,"NC"
"Erebidae","Leopold's Preserve",23.5,"salmon",-77.673554420471,38.816756338075,"VA"
"Geometridae","Leopold's Preserve",35.3,"lightgreen",-77.673554420471,38.816756338075,"VA"
"Noctuidae","Leopold's Preserve",11.8,"skyblue",-77.673554420471,38.816756338075,"VA"
"Notodontidae","Leopold's Preserve",17.6,"dodgerblue",-77.673554420471,38.816756338075,"VA"
"Saturniidae","Leopold's Preserve",11.8,"yellow",-77.673554420471,38.816756338075,"VA"
"Erebidae","Middle Mill",50,"salmon",-79.356059205218,43.69402883916,"ON"
"Geometridae","Middle Mill",30.8,"lightgreen",-79.356059205218,43.69402883916,"ON"
"Noctuidae","Middle Mill",3.8,"skyblue",-79.356059205218,43.69402883916,"ON"
"other","Middle Mill",15.3,"white",-79.356059205218,43.69402883916,"ON"
"Erebidae","Mt. Auburn Cemetery",4.8,"salmon",-71.14532216979,42.37140748221,"MA"
"Geometridae","Mt. Auburn Cemetery",33.3,"lightgreen",-71.14532216979,42.37140748221,"MA"
"Noctuidae","Mt. Auburn Cemetery",19,"skyblue",-71.14532216979,42.37140748221,"MA"
"other","Mt. Auburn Cemetery",43,"white",-71.14532216979,42.37140748221,"MA"
"Erebidae","NC Botanical Garden",13,"salmon",-79.0339,35.8994,"NC"
"Geometridae","NC Botanical Garden",42.9,"lightgreen",-79.0339,35.8994,"NC"
"Limacodidae","NC Botanical Garden",2.5,"orange",-79.0339,35.8994,"NC"
"Noctuidae","NC Botanical Garden",26.1,"skyblue",-79.0339,35.8994,"NC"
"Notodontidae","NC Botanical Garden",11.2,"dodgerblue",-79.0339,35.8994,"NC"
"other","NC Botanical Garden",4.2,"white",-79.0339,35.8994,"NC"
"Erebidae","Prairie Ridge Ecostation",22.7,"salmon",-78.7139,35.8117,"NC"
"Euteliidae","Prairie Ridge Ecostation",2.7,"thistle",-78.7139,35.8117,"NC"
"Geometridae","Prairie Ridge Ecostation",45.2,"lightgreen",-78.7139,35.8117,"NC"
"Limacodidae","Prairie Ridge Ecostation",3.2,"orange",-78.7139,35.8117,"NC"
"Noctuidae","Prairie Ridge Ecostation",14,"skyblue",-78.7139,35.8117,"NC"
"Notodontidae","Prairie Ridge Ecostation",6.6,"dodgerblue",-78.7139,35.8117,"NC"
"Saturniidae","Prairie Ridge Ecostation",3.7,"yellow",-78.7139,35.8117,"NC"
"other","Prairie Ridge Ecostation",2,"white",-78.7139,35.8117,"NC"
"Erebidae","RVCC",63.6,"salmon",-79.170878351185,43.81900252918,"ON"
"Geometridae","RVCC",18.2,"lightgreen",-79.170878351185,43.81900252918,"ON"
"Noctuidae","RVCC",9.1,"skyblue",-79.170878351185,43.81900252918,"ON"
"other","RVCC",9,"white",-79.170878351185,43.81900252918,"ON"
"Erebidae","Riverbend Park",65.9,"salmon",-77.246021979731,39.018431674248,"VA"
"Limacodidae","Riverbend Park",4.5,"orange",-77.246021979731,39.018431674248,"VA"
"Noctuidae","Riverbend Park",29.5,"skyblue",-77.246021979731,39.018431674248,"VA"
"Erebidae","Sault College",34.8,"salmon",-84.30692999308,46.534499045766,"ON"
"Geometridae","Sault College",26.1,"lightgreen",-84.30692999308,46.534499045766,"ON"
"Noctuidae","Sault College",13,"skyblue",-84.30692999308,46.534499045766,"ON"
"other","Sault College",26,"white",-84.30692999308,46.534499045766,"ON"
"Erebidae","Triangle Land Conservancy - Johnston Mill Nature Preserve",3,"salmon",-79.049186,35.990692,"NC"
"Geometridae","Triangle Land Conservancy - Johnston Mill Nature Preserve",48.5,"lightgreen",-79.049186,35.990692,"NC"
"Limacodidae","Triangle Land Conservancy - Johnston Mill Nature Preserve",6.1,"orange",-79.049186,35.990692,"NC"
"Noctuidae","Triangle Land Conservancy - Johnston Mill Nature Preserve",27.3,"skyblue",-79.049186,35.990692,"NC"
"Notodontidae","Triangle Land Conservancy - Johnston Mill Nature Preserve",6.1,"dodgerblue",-79.049186,35.990692,"NC"
"other","Triangle Land Conservancy - Johnston Mill Nature Preserve",9.1,"white",-79.049186,35.990692,"NC"
"Erebidae","UNC Chapel Hill Campus",11.1,"salmon",-79.049644020807,35.909876654033,"NC"
"Geometridae","UNC Chapel Hill Campus",50,"lightgreen",-79.049644020807,35.909876654033,"NC"
"Noctuidae","UNC Chapel Hill Campus",33.3,"skyblue",-79.049644020807,35.909876654033,"NC"
"Notodontidae","UNC Chapel Hill Campus",5.6,"dodgerblue",-79.049644020807,35.909876654033,"NC"
"Erebidae","Walker Nature Center",43.9,"salmon",-77.341531666344,38.925767408682,"VA"
"Geometridae","Walker Nature Center",31.8,"lightgreen",-77.341531666344,38.925767408682,"VA"
"Limacodidae","Walker Nature Center",1.5,"orange",-77.341531666344,38.925767408682,"VA"
"Noctuidae","Walker Nature Center",10.6,"skyblue",-77.341531666344,38.925767408682,"VA"
"Notodontidae","Walker Nature Center",6.1,"dodgerblue",-77.341531666344,38.925767408682,"VA"
"Saturniidae","Walker Nature Center",3,"yellow",-77.341531666344,38.925767408682,"VA"
"other","Walker Nature Center",3,"white",-77.341531666344,38.925767408682,"VA"
"Erebidae","Woodland Edge Ravine",31.8,"salmon",-83.091851288506,39.037932434365,"OH"
"Geometridae","Woodland Edge Ravine",4.5,"lightgreen",-83.091851288506,39.037932434365,"OH"
"Limacodidae","Woodland Edge Ravine",9.1,"orange",-83.091851288506,39.037932434365,"OH"
"Noctuidae","Woodland Edge Ravine",18.2,"skyblue",-83.091851288506,39.037932434365,"OH"
"Saturniidae","Woodland Edge Ravine",9.1,"yellow",-83.091851288506,39.037932434365,"OH"
"other","Woodland Edge Ravine",27.2,"white",-83.091851288506,39.037932434365,"OH"
