"obs_days","count"
1,256286
2,51242
3,20658
4,10982
5,6341
6,4120
7,2931
8,2091
9,1507
10,1199
11,954
12,734
13,589
14,478
15,425
16,340
17,271
18,273
19,222
20,221
21,185
22,132
23,134
24,122
25,92
26,100
27,58
28,76
29,63
30,61
31,51
32,45
33,47
34,44
35,33
36,38
37,36
38,27
39,25
40,36
41,24
42,21
43,17
44,14
45,21
46,16
47,13
48,14
49,17
50,13
51,9
52,9
53,12
54,10
55,11
56,5
57,10
58,3
59,8
60,9
61,7
62,9
63,12
64,8
65,5
66,5
67,5
68,7
69,3
70,6
71,5
72,5
73,1
74,5
75,7
76,3
77,1
78,5
79,2
80,2
81,1
83,1
84,4
86,2
87,2
88,2
89,2
90,1
92,3
93,1
94,1
95,2
96,1
97,2
98,1
99,2
102,1
106,3
107,2
108,2
109,1
110,1
112,1
113,1
114,1
119,1
120,1
126,1
129,1
142,1
151,1
152,1
178,1
289,1
300,1
